interaction_id,medicine,supplement_ingredient,interaction_risk,severity,recommendation
I0309,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0310,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0311,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0312,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0313,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0314,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0315,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0316,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0317,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0318,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0319,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0320,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0321,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0322,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0323,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0324,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0325,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0326,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0327,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0328,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0329,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0330,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0331,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0332,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0333,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0334,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0335,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0336,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0337,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0338,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0339,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0340,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0341,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0342,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0343,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0344,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0345,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0346,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0347,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0348,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0349,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0350,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0351,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0352,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0353,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0354,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0355,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0356,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0357,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0358,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0359,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0360,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0361,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0362,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0363,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0364,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0365,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0366,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0367,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0368,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0369,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0370,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0371,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0372,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0373,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0374,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0375,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0376,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0377,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0378,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0379,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0380,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0381,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0382,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0383,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0384,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0385,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0386,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0387,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0388,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0389,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0390,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0391,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0392,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0393,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0394,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0395,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0396,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0397,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0398,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0399,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0400,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0401,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0402,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0403,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0404,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0405,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0406,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0407,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0408,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0409,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0410,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0411,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0412,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0413,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0414,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0415,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0416,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0417,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0418,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0419,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0420,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0421,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0422,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0423,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0424,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0425,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0426,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0427,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0428,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0429,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0430,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0431,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0432,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0433,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0434,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0435,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0436,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0437,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0438,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0439,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0440,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0441,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0442,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0443,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0444,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0445,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0446,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0447,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0448,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0449,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0450,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
